,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.0,15.4%,0,100.0%,2.0,16.7%,0,100.0%,2,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,0.0,7.7%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,0.0,100.0%,0,0.0%,0,N/A,1,0.0%
ISO,2.0,7.7%,0,100.0%,2.0,8.3%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.55,29.8%,0,66.7%,1.33,25.0%,0,66.7%,3,66.7%,0,N/A,2.27,88.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,7.7%,0,0.0%,0.0,8.3%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,23.1%,0,33.3%,1.0,25.0%,0,33.3%,0,N/A,3,33.3%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,7.7%,0,100.0%,2.0,8.3%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,7.7%,0,0.0%,0.0,8.3%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.33,23.1%,0,66.7%,2.0,66.7%,0,100.0%,2,100.0%,0,N/A,0,33.3%,0,0.0%,0,N/A,1,0.0%
TOTAL,1.22,13,0,53.8%,1.25,92.3%,0,58.3%,9,66.7%,3,33.3%,1.06,7.7%,0,0.0%,0,nan%,1,0.0%
