,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.81,32.5,0,50.0,1.81,46.0,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,2.27,10.4,0,N/A,2.27,14.7,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.74,16.9,0,100.0,2.0,16.7,100.0,2,100.0,0,N/A,1.14,17.6,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,17.6,1,100.0,3.0,16.7,100.0,0,N/A,2,100.0,0.0,20.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,11.8,2,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,40.0,N/A,0,N/A,0,N/A
Cutting,1.67,17.6,0,66.7,2.0,8.3,100.0,1,100.0,0,N/A,1.5,40.0,50.0,0,N/A,2,50.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.65,17,17.6,77.8,2.12,70.6,85.7,5,80.0,2,100.0,0.68,29.4,50.0,0,nan,2,50.0
