,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,1.2,47.6%,55.6%,1.0,36.4%,66.7%,3,66.7%,0,N/A,1.33,60.0%,50.0%,2,50.0%,4,50.0%
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,2.67,14.3%,100.0%,3.0,9.1%,100.0%,0,N/A,1,100.0%,2.5,20.0%,100.0%,1,100.0%,1,100.0%
Transition,1.0,19.0%,66.7%,0.67,27.3%,50.0%,1,100.0%,1,0.0%,2.0,10.0%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,1.5,9.5%,50.0%,0.0,9.1%,0.0%,1,0.0%,0,N/A,3.0,10.0%,100.0%,0,N/A,1,100.0%
Catch & Shoot,0.0,9.5%,0.0%,0.0,18.2%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.2,47.6%,55.6%,1.0,40.0%,66.7%,3,66.7%,0,N/A,1,60.0%,50.0%,2,50.0%,4,50.0%
TOTAL,1.29,21,57.9%,0.82,52.4%,44.4%,5,60.0%,4,25.0%,1.8,47.6%,70.0%,4,75.0%,6,66.7%
