,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,5.7,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.0,9.5,50.0,2,50.0,0,N/A
PNR Screener,2.0,2.9,0,100.0,2.0,7.1,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.67,8.6,0,33.3,2.0,7.1,100.0,1,100.0,0,N/A,0.0,9.5,0.0,0,N/A,2,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.5,45.7,6,40.0,0.44,64.3,33.3,5,40.0,1,0.0,0.57,33.3,50.0,3,66.7,1,0.0
TRANSITION,0.53,32.3,2,25.0,1.39,10.3,100.0,1,100.0,0,N/A,0.4,47.0,14.3,1,0.0,6,16.7
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,2.9,0,0.0,0.0,7.1,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,5.7,0,50.0,2.0,7.1,100.0,1,100.0,0,N/A,0.0,4.8,0.0,0,N/A,1,0.0
TOTAL,0.61,35,22.9,37.0,0.83,40.0,54.5,10,60.0,1,0.0,0.46,60.0,25.0,6,50.0,10,10.0
