,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.67,6.2,3,40.0,0.83,6.1,55.6,9,55.6,0,N/A,0.33,6.2,16.7,3,33.3,3,0.0
PNR Screener,1.28,11.3,4,67.9,1.51,10.1,81.2,11,100.0,5,40.0,0.92,13.5,50.0,9,66.7,3,0.0
DHO Ball Handler,0.0,1.0,0,0.0,0.0,1.5,0.0,3,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,1.56,13.4,0,59.4,1.86,9.6,71.4,7,85.7,7,57.1,1.29,21.0,50.0,12,50.0,6,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,1.0,0.7,0,50.0,0.0,0.5,0.0,1,0.0,0,N/A,2.0,1.0,100.0,1,100.0,0,N/A
ISOLATION,1.1,41.5,16,57.9,0.9,45.3,50.7,68,52.9,3,0.0,1.64,33.6,79.2,15,93.3,9,55.6
TRANSITION,1.08,7.3,1,60.0,1.79,4.9,100.0,6,100.0,0,N/A,0.51,12.2,33.3,4,75.0,5,0.0
Attacking Closeouts,1.81,3.6,0,85.7,1.69,3.3,66.7,3,66.7,0,N/A,2.0,4.2,100.0,4,100.0,0,N/A
Catch & Shoot,1.8,3.4,0,60.0,1.8,5.1,60.0,0,N/A,10,60.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.55,3.8,0,27.3,0.57,3.6,28.6,7,28.6,0,N/A,0.5,4.2,25.0,1,100.0,3,0.0
Cutting,1.27,4.3,0,50.0,1.27,6.4,50.0,10,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.19,3.9,0,85.7,2.16,3.8,100.0,3,100.0,0,N/A,2.25,4.2,75.0,0,N/A,4,75.0
TOTAL,1.22,292,8.2,57.4,1.21,67.1,57.5,128,59.4,25,48.0,1.25,32.9,57.3,49,73.5,33,33.3
