,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,0.0,3.2%,1,N/A,0.0,7.1%,1,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
KCP,1.06,6.1%,0,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.06,11.1%,0,0.0%,0,N/A,1,0.0%
PORTER,2.27,2.8%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.27,5.2%,0,N/A,0,N/A,0,N/A
BROWN,2.0,3.2%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,5.9%,0,100.0%,1,100.0%,0,N/A
OTHERS,1.5,12.9%,0,75.0%,2.0,14.3%,0,100.0%,2,100.0%,0,N/A,1.0,11.8%,0,50.0%,1,100.0%,1,0.0%
ISO,1.11,40.8%,0,50.0%,1.04,41.1%,0,50.0%,4,50.0%,0,N/A,1.16,40.5%,0,50.0%,3,100.0%,3,0.0%
Transition,1.87,19.0%,1,100.0%,2.13,13.4%,0,100.0%,1,100.0%,0,N/A,1.75,23.5%,1,100.0%,2,100.0%,1,100.0%
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,3.2%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,3.0,5.9%,0,100.0%,0,N/A,1,100.0%
Cutting,2.0,3.2%,0,100.0%,2.0,7.1%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.33,9.7%,0,66.7%,1.33,21.4%,0,66.7%,3,66.7%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.5,25.8%,1,66.7%,1.33,37.5%,1,100.0%,2,100.0%,0,N/A,2,62.5%,0,50.0%,2,100.0%,2,0.0%
TOTAL,1.43,31,2,68.0%,1.37,45.2%,1,72.7%,11,72.7%,0,N/A,1.47,54.8%,1,64.3%,7,100.0%,7,28.6%
