,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MURRAY,1.5,8.7%,0,75.0%,1.33,11.1%,66.7%,2,100.0%,1,0.0%,2.0,5.3%,100.0%,1,100.0%,0,N/A
KCP,1.6,10.9%,0,60.0%,1.67,11.1%,66.7%,2,50.0%,1,100.0%,1.5,10.5%,50.0%,1,0.0%,1,100.0%
PORTER,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BROWN,0.0,2.2%,0,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,5.3%,0.0%,1,0.0%,0,N/A
OTHERS,0.75,8.7%,0,25.0%,1.0,11.1%,33.3%,2,0.0%,1,100.0%,0.0,5.3%,0.0%,0,N/A,1,0.0%
ISO,1.15,26.5%,2,62.5%,1.37,27.1%,66.7%,6,66.7%,0,N/A,0.82,25.7%,50.0%,1,100.0%,1,0.0%
Transition,1.3,21.7%,3,85.7%,2.0,3.7%,100.0%,1,100.0%,0,N/A,1.22,47.4%,83.3%,4,100.0%,2,50.0%
Attacking Closeouts,0.0,4.3%,1,0.0%,0.0,7.4%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,6.5%,0,66.7%,1.5,7.4%,50.0%,0,N/A,2,50.0%,3.0,5.3%,100.0%,0,N/A,1,100.0%
Off Ball Screens,2.66,4.1%,0,100.0%,2.66,7.0%,100.0%,0,N/A,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,2.0,2.2%,0,100.0%,2.0,3.7%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,0.87,7.5%,0,33.3%,0.87,12.7%,33.3%,3,33.3%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.21,30.4%,0,50.0%,1.33,64.3%,55.6%,6,50.0%,3,66.7%,1,35.7%,40.0%,3,33.3%,2,50.0%
TOTAL,1.26,46,13.0%,60.5%,1.34,58.7%,58.3%,18,55.6%,6,66.7%,1.16,41.3%,64.3%,8,75.0%,6,50.0%
