,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.69,26.2%,0,0.0%,1.06,26.9%,0,0.0%,1,0.0%,0,N/A,0.0,25.0%,0,0.0%,0,N/A,1,0.0%
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Transition,1.75,36.4%,1,100.0%,2.0,14.3%,0,100.0%,1,100.0%,0,N/A,1.67,75.0%,1,100.0%,1,100.0%,1,100.0%
Attacking Closeouts,0.0,9.1%,0,0.0%,0.0,14.3%,0,0.0%,1,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,27.3%,0,33.3%,1.0,42.9%,0,33.3%,0,N/A,3,33.3%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,1.14,8.0%,0,N/A,1.14,12.6%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.0,18.2%,0,0.0%,2.0,50.0%,0,0.0%,1,0.0%,0,N/A,0,50.0%,0,0.0%,0,N/A,1,0.0%
TOTAL,1.11,11,1,44.4%,1.03,63.6%,0,33.3%,3,33.3%,3,33.3%,1.25,36.4%,1,66.7%,1,100.0%,2,50.0%
