,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,2.5,23.5%,100.0%,2.0,22.2%,100.0%,2,100.0%,0,N/A,3.0,25.0%,100.0%,0,N/A,2,100.0%
GORDON,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.67,17.6%,33.3%,0.0,22.2%,0.0%,1,0.0%,1,0.0%,2.0,12.5%,100.0%,1,100.0%,0,N/A
Transition,1.55,22.8%,66.7%,1.14,9.8%,N/A,0,N/A,0,N/A,1.67,37.5%,66.7%,3,66.7%,0,N/A
Attacking Closeouts,2.5,11.8%,100.0%,2.5,22.2%,100.0%,1,100.0%,1,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,17.6%,33.3%,1.0,33.3%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.9%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,12.5%,N/A,0,N/A,0,N/A
Cutting,2.0,5.9%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,12.5%,100.0%,1,100.0%,0,N/A
Off. Rebounds,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,2.5,23.5%,100.0%,2.0,50.0%,100.0%,2,100.0%,0,N/A,3,50.0%,100.0%,0,N/A,2,100.0%
TOTAL,1.57,17,68.8%,1.32,52.9%,55.6%,4,75.0%,5,40.0%,1.88,47.1%,85.7%,5,80.0%,2,100.0%
