,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.0,31.2%,0,40.0%,0.0,12.5%,0.0%,1,0.0%,0,N/A,1.25,50.0%,50.0%,2,50.0%,2,50.0%
GORDON,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,2.27,5.5%,0,N/A,2.27,11.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,1.4,31.2%,1,75.0%,1.0,25.0%,100.0%,1,100.0%,0,N/A,1.67,37.5%,66.7%,2,50.0%,1,100.0%
Attacking Closeouts,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.8,31.2%,0,60.0%,1.8,62.5%,60.0%,0,N/A,5,60.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,6.2%,0,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,12.5%,0.0%,0,N/A,1,0.0%
PNR / DHO,1.4,31.2%,0,40.0%,2.0,20.0%,0.0%,1,0.0%,0,N/A,1,80.0%,50.0%,2,50.0%,2,50.0%
TOTAL,1.36,16,6.2%,53.3%,1.46,50.0%,57.1%,2,50.0%,5,60.0%,1.25,50.0%,50.0%,4,50.0%,4,50.0%
