,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,5.0,0,0.0,0.0,5.3,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,10.0,0,0.0,0.0,10.5,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.75,20.0,1,100.0,1.75,21.1,100.0,2,100.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.74,14.4,0,50.0,1.74,15.2,50.0,1,0.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.5,20.0,1,33.3,0.67,15.8,33.3,2,50.0,1,0.0,0.0,100.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,10.0,0,50.0,1.5,10.5,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,5.0,0,100.0,3.0,5.3,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.03,17.2,0,100.0,2.03,18.1,100.0,3,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.33,20,10.0,58.8,1.4,95.0,58.8,9,66.7,8,50.0,0.0,5.0,nan,0,nan,0,nan
