,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,3.7,0,0.0,0.0,4.2,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.56,19.7,1,0.0,0.0,12.5,0.0,0,N/A,2,0.0,1.29,77.3,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,3.7,0,0.0,0.0,4.2,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.06,7.0,0,0.0,1.06,7.8,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.5,14.8,0,25.0,0.0,12.5,0.0,1,0.0,2,0.0,2.0,33.3,100.0,1,100.0,0,N/A
Catch & Shoot,1.0,33.3,0,33.3,1.0,37.5,33.3,0,N/A,9,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,7.4,0,100.0,2.0,8.3,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.0,7.4,0,50.0,1.0,8.3,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,7.4,0,50.0,1.0,8.3,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.85,27,3.7,32.0,0.76,88.9,30.4,7,57.1,16,18.8,1.51,11.1,50.0,1,100.0,1,0.0
