,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.14,36.5,14,61.4,1.22,25.9,60.0,30,60.0,5,60.0,1.1,47.7,62.5,28,82.1,20,35.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.69,10.5,2,75.0,1.51,10.6,72.7,6,66.7,5,80.0,1.87,10.3,76.9,8,75.0,5,80.0
DHO Screener,0.0,1.1,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,2.2,0.0,3,0.0,0,N/A
DBL Ball Handler,0.0,1.8,0,0.0,0.0,0.7,0.0,0,N/A,1,0.0,0.0,3.0,0.0,1,0.0,3,0.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.74,15.0,2,23.5,0.5,19.5,24.0,16,37.5,9,0.0,1.23,10.3,22.2,0,N/A,9,22.2
TRANSITION,1.27,17.3,4,51.4,0.86,13.0,36.4,11,36.4,0,N/A,1.52,21.9,57.7,11,72.7,15,46.7
Attacking Closeouts,1.62,4.7,0,69.2,2.14,4.9,85.7,4,75.0,3,100.0,1.0,4.4,50.0,3,100.0,3,0.0
Catch & Shoot,1.35,7.2,0,45.0,1.35,14.0,45.0,0,N/A,20,45.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.67,3.2,0,33.3,0.5,5.6,25.0,5,40.0,3,0.0,2.0,0.7,100.0,1,100.0,0,N/A
Cutting,1.2,1.8,1,75.0,1.2,3.5,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,1.4,0,50.0,1.0,2.8,50.0,4,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.15,278,8.3,51.7,1.07,51.4,48.4,80,52.5,46,41.3,1.23,48.6,55.5,55,74.5,55,36.4
