,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,0.2,20.3%,0,0.0%,0.26,20.4%,0.0%,0,N/A,3,0.0%,0.0,20.0%,0.0%,0,N/A,1,0.0%
GORDON,0.0,4.2%,1,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,0.0,20.0%,N/A,0,N/A,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.0,8.3%,0,0.0%,0.0,10.5%,0.0%,2,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,0.33,25.0%,1,20.0%,0.0,21.1%,0.0%,2,0.0%,1,0.0%,1.0,40.0%,50.0%,1,100.0%,1,0.0%
Transition,1.5,16.7%,0,50.0%,1.5,21.1%,50.0%,2,0.0%,2,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,4.2%,0,0.0%,0.0,5.3%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,16.7%,0,50.0%,1.5,21.1%,50.0%,0,N/A,4,50.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,8.3%,0,50.0%,3.0,5.3%,100.0%,0,N/A,1,100.0%,0.0,20.0%,0.0%,0,N/A,1,0.0%
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.14,29.2%,1,0.0%,0.2,71.4%,0.0%,2,0.0%,3,0.0%,0,28.6%,0.0%,0,N/A,1,0.0%
TOTAL,0.72,24,8.3%,27.3%,0.8,79.2%,27.8%,7,0.0%,11,45.5%,0.4,20.8%,25.0%,1,100.0%,3,0.0%
