,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
JOKIC,1.68,44.0%,1,70.0%,1.83,40.0%,0,66.7%,1,100.0%,5,60.0%,1.53,49.0%,1,75.0%,3,66.7%,1,100.0%
GORDON,2.0,3.7%,0,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A,2.0,8.3%,0,100.0%,1,100.0%,0,N/A
BRYANT,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
NNAJI,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.86,25.9%,0,71.4%,2.5,13.3%,0,100.0%,1,100.0%,1,100.0%,1.6,41.7%,0,60.0%,1,100.0%,4,50.0%
Transition,1.0,14.8%,1,66.7%,1.0,26.7%,1,66.7%,2,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.5,7.4%,0,50.0%,3.0,6.7%,0,100.0%,0,N/A,1,100.0%,0.0,8.3%,0,0.0%,0,N/A,1,0.0%
Catch & Shoot,0.0,3.7%,0,0.0%,0.0,6.7%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,3.7%,0,0.0%,0.0,6.7%,0,0.0%,0,N/A,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.83,44.4%,1,72.7%,1.83,50.0%,0,66.7%,1,100.0%,5,60.0%,2,50.0%,1,80.0%,4,75.0%,1,100.0%
TOTAL,1.51,27,2,64.0%,1.53,55.6%,1,64.3%,4,100.0%,10,50.0%,1.48,44.4%,1,63.6%,5,80.0%,6,50.0%
