Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,9,2,2,0,1,1,16,11,7,1,0,1,5
shoot2FGM,4,1,0,0,0,1,12,7,4,1,0,0,5
shoot2FTA,2,4,0,0,0,0,4,8,3,0,0,0,1
shoot2FTM,1,3,0,0,0,0,2,7,3,0,0,0,1
shoot2TO,0,0,2,0,0,0,2,0,2,0,0,0,0
shoot3FGA,4,1,1,0,0,0,3,2,2,13,3,0,0
shoot3FGM,2,1,0,0,0,0,0,1,0,2,2,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,2,0,0,3,1,0,0,1,0,1,0,0,0
pass2FGM,1,0,0,0,1,0,0,1,0,1,0,0,0
pass2FTA,2,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,2,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,6,1,0,1,0,0,2,3,2,1,0,0,1
pass3FGM,1,0,0,0,0,0,1,1,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,
