Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,7,3,1,1,0,0,20,6,8,0,0,10,1
shoot2FGM,4,2,1,0,0,0,9,5,3,0,0,9,1
shoot2FTA,2,2,0,0,0,0,8,14,0,0,0,0,0
shoot2FTM,2,2,0,0,0,0,7,12,0,0,0,0,0
shoot2TO,1,0,0,1,0,0,1,0,0,0,0,0,0
shoot3FGA,2,2,0,0,0,0,3,1,0,16,0,0,0
shoot3FGM,0,2,0,0,0,0,1,0,0,8,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,7,1,2,1,0,0,6,3,1,0,0,0,1
pass2FGM,5,1,0,1,0,0,4,3,1,0,0,0,1
pass2FTA,2,0,0,0,0,0,0,6,0,0,0,0,0
pass2FTM,2,0,0,0,0,0,0,4,0,0,0,0,0
pass2TO,1,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,4,0,0,0,0,0,7,3,0,4,0,0,1
pass3FGM,3,0,0,0,0,0,3,2,0,1,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,0,0,0,0,0,2,0,0,1,0,0
