,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.32,13.5,1,57.1,1.21,11.2,55.6,8,62.5,1,0.0,1.5,20.0,60.0,0,N/A,5,60.0
PNR Screener,0.0,0.8,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,3.3,0.0,1,0.0,0,N/A
DHO Ball Handler,1.67,2.5,0,66.7,1.0,2.3,50.0,1,100.0,1,0.0,3.0,3.3,100.0,0,N/A,1,100.0
DHO Screener,0.67,2.5,1,50.0,N/A,0.0,N/A,0,N/A,0,N/A,0.67,10.0,50.0,1,100.0,1,0.0
DBL Ball Handler,0.68,5.0,0,20.0,0.35,3.3,0.0,2,0.0,0,N/A,1.0,10.0,33.3,0,N/A,3,33.3
DBL Screener,1.0,2.5,0,33.3,1.0,3.4,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.15,25.8,2,50.0,0.98,26.6,38.9,17,41.2,1,0.0,1.71,23.3,83.3,4,75.0,2,100.0
TRANSITION,1.26,13.5,2,61.5,1.15,11.9,55.6,7,57.1,2,50.0,1.47,18.1,75.0,2,100.0,2,50.0
Attacking Closeouts,0.88,9.6,3,42.9,0.84,9.5,40.0,5,40.0,0,N/A,1.0,10.0,50.0,1,0.0,1,100.0
Catch & Shoot,2.08,11.0,0,69.2,2.08,14.8,69.2,0,N/A,13,69.2,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.2,4.2,0,40.0,1.2,5.7,40.0,1,0.0,4,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.86,5.9,0,42.9,0.86,8.0,42.9,7,42.9,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.8,4.2,1,50.0,1.0,4.5,66.7,3,66.7,0,N/A,0.0,3.3,0.0,0,N/A,1,0.0
TOTAL,1.2,118,8.5,51.5,1.16,74.6,48.7,51,47.1,25,52.0,1.31,25.4,60.0,9,66.7,16,56.2
