,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.71,13.7,3,33.3,1.01,10.7,44.4,7,42.9,2,50.0,0.34,21.1,16.7,2,50.0,4,0.0
PNR Screener,1.84,3.4,0,75.0,1.04,2.8,50.0,2,50.0,0,N/A,3.0,4.8,100.0,0,N/A,2,100.0
DHO Ball Handler,0.59,5.9,0,25.0,0.47,6.3,16.7,4,25.0,2,0.0,1.0,4.8,50.0,1,100.0,1,0.0
DHO Screener,1.13,3.1,0,50.0,2.0,1.0,100.0,1,100.0,0,N/A,0.87,8.2,33.3,2,50.0,1,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.01,22.1,3,48.1,1.08,20.9,47.4,15,46.7,4,50.0,0.86,24.9,50.0,5,80.0,3,0.0
TRANSITION,0.92,20.3,4,50.0,0.85,17.3,46.2,12,50.0,1,0.0,1.03,27.7,57.1,4,75.0,3,33.3
Attacking Closeouts,0.86,6.5,3,60.0,1.09,7.2,60.0,5,60.0,0,N/A,0.0,4.8,N/A,0,N/A,0,N/A
Catch & Shoot,0.83,12.5,0,27.8,0.88,16.7,29.4,0,N/A,17,29.4,0.0,2.4,0.0,1,0.0,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.23,5.1,0,50.0,1.23,7.2,50.0,6,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.79,7.8,0,77.8,1.74,10.1,77.8,8,75.0,1,100.0,2.27,2.1,N/A,0,N/A,0,N/A
TOTAL,1.0,144,9.0,45.7,1.05,70.8,46.0,60,51.7,27,33.3,0.88,29.2,44.8,15,66.7,14,21.4
