Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,5,3,2,1,0,0,17,8,2,0,2,3,3
shoot2FGM,3,2,0,1,0,0,10,5,1,0,2,2,3
shoot2FTA,6,2,0,2,0,0,4,1,2,0,2,2,0
shoot2FTM,6,1,0,2,0,0,3,1,2,0,1,1,0
shoot2TO,0,1,0,0,0,0,0,3,0,0,0,1,0
shoot3FGA,4,3,1,2,0,0,1,3,0,11,1,0,0
shoot3FGM,1,1,0,0,0,0,0,0,0,5,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,3,0,1,1,0,0,5,4,0,0,1,0,1
pass2FGM,2,0,1,0,0,0,5,4,0,0,1,0,0
pass2FTA,2,0,2,0,0,0,2,1,0,0,0,0,0
pass2FTM,1,0,2,0,0,0,1,1,0,0,0,0,0
pass2TO,0,2,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,5,0,2,2,0,0,6,3,2,0,0,1,0
pass3FGM,2,0,0,1,0,0,2,0,0,0,0,1,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,1,0,0,0,1,0,0,0,1,0,0
