Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,8,0,1,1,1,0,9,6,4,0,5,11,3
shoot2FGM,2,0,1,0,0,0,2,4,2,0,0,8,3
shoot2FTA,4,0,0,0,0,2,2,11,1,0,6,5,4
shoot2FTM,4,0,0,0,0,2,2,11,1,0,3,4,4
shoot2TO,0,0,0,0,1,0,2,1,0,0,0,0,0
shoot3FGA,3,1,2,0,0,0,5,2,1,18,1,0,1
shoot3FGM,2,1,2,0,0,0,1,1,0,5,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,1,1,2,2,0,0,11,4,2,0,1,0,0
pass2FGM,1,1,1,2,0,0,5,3,0,0,0,0,0
pass2FTA,2,0,0,0,2,0,7,8,0,0,0,0,0
pass2FTM,2,0,0,0,2,0,4,8,0,0,0,0,0
pass2TO,0,1,0,0,0,0,3,0,0,0,0,0,0
pass3FGA,1,1,0,2,0,0,8,6,1,0,0,1,2
pass3FGM,1,1,0,2,0,0,3,0,0,0,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,1,0,0,0,1,0,0,0,0,0,0
