,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.93,19.1,5,45.0,0.9,18.5,46.2,8,37.5,5,60.0,1.02,20.7,42.9,3,66.7,4,25.0
PNR Screener,1.27,5.6,1,66.7,1.36,5.8,60.0,3,66.7,2,50.0,1.0,5.3,100.0,1,100.0,0,N/A
DHO Ball Handler,1.46,6.3,0,62.5,1.4,7.7,57.1,4,75.0,3,33.3,2.0,2.6,100.0,1,100.0,0,N/A
DHO Screener,1.6,4.9,0,66.7,2.0,1.0,100.0,1,100.0,0,N/A,1.53,15.5,60.0,2,100.0,3,33.3
DBL Ball Handler,2.0,1.4,0,100.0,2.0,1.0,100.0,1,100.0,0,N/A,2.0,2.6,100.0,1,100.0,0,N/A
DBL Screener,2.0,0.7,0,100.0,2.0,1.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.3,21.5,1,53.8,1.01,20.4,44.4,15,46.7,3,33.3,1.93,24.5,75.0,5,60.0,3,100.0
TRANSITION,1.52,17.9,0,72.7,1.36,15.9,64.3,12,66.7,2,50.0,1.8,23.4,87.5,7,85.7,1,100.0
Attacking Closeouts,0.77,2.8,1,50.0,0.77,3.8,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.14,5.0,0,42.9,1.14,6.9,42.9,2,50.0,5,40.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.09,7.2,2,40.0,1.36,7.9,50.0,2,50.0,2,50.0,0.0,5.3,0.0,0,N/A,1,0.0
Cutting,1.33,4.3,0,66.7,1.2,4.9,60.0,5,60.0,0,N/A,2.0,2.6,100.0,1,100.0,0,N/A
Off. Rebounds,1.33,4.3,0,66.7,1.33,5.9,66.7,6,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.27,140,7.1,59.0,1.18,72.9,54.8,62,58.1,22,45.5,1.51,27.1,69.7,21,81.0,12,50.0
