,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.94,27.4,2,53.3,1.07,31.2,57.1,14,57.1,0,N/A,0.0,14.3,0.0,0,N/A,1,0.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,2.0,1.6,0,100.0,2.0,2.1,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,1.43,7.9,0,75.0,1.43,10.2,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.0,21.0,2,54.5,0.8,20.8,50.0,8,50.0,0,N/A,1.67,21.4,66.7,2,50.0,1,100.0
TRANSITION,0.4,8.1,3,50.0,1.0,4.2,50.0,2,50.0,0,N/A,0.0,21.4,N/A,0,N/A,0,N/A
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,1.6,0,0.0,0.0,2.1,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.15,18.3,0,60.0,1.26,21.5,66.7,9,66.7,0,N/A,0.0,7.1,0.0,1,0.0,0,N/A
Off. Rebounds,1.22,14.5,1,62.5,1.5,8.3,100.0,3,100.0,0,N/A,1.0,35.7,40.0,3,33.3,2,50.0
TOTAL,1.03,62,12.9,57.7,1.12,77.4,61.9,42,61.9,0,N/A,0.71,22.6,40.0,6,33.3,4,50.0
