,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.08,13.9,0,47.4,1.06,9.7,44.4,6,50.0,3,33.3,1.11,21.0,50.0,6,66.7,4,25.0
PNR Screener,1.02,4.5,0,50.0,1.02,7.1,50.0,5,60.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.0,4.6,0,42.9,0.8,5.2,40.0,5,40.0,0,N/A,1.5,3.6,50.0,1,0.0,1,100.0
DHO Screener,1.0,4.6,0,42.9,1.5,2.1,50.0,1,0.0,1,100.0,0.8,8.9,40.0,5,40.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.35,34.5,6,68.3,1.43,29.5,70.8,23,69.6,1,100.0,1.25,43.0,64.7,10,80.0,7,42.9
TRANSITION,1.24,11.6,2,64.3,1.42,10.2,66.7,7,85.7,2,0.0,1.02,14.1,60.0,4,75.0,1,0.0
Attacking Closeouts,1.21,7.0,0,55.6,1.16,8.0,50.0,5,60.0,1,0.0,1.33,5.4,66.7,2,100.0,1,0.0
Catch & Shoot,1.2,6.5,0,40.0,1.2,10.3,40.0,0,N/A,10,40.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.67,3.9,0,33.3,0.67,6.2,33.3,4,50.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.09,6.6,1,50.0,1.36,8.3,60.0,5,60.0,0,N/A,0.0,3.6,0.0,0,N/A,1,0.0
Off. Rebounds,1.6,3.3,0,80.0,2.0,4.1,100.0,4,100.0,0,N/A,0.0,1.8,0.0,0,N/A,1,0.0
TOTAL,1.2,153,5.9,56.2,1.26,63.4,57.0,65,64.6,21,33.3,1.09,36.6,54.5,28,67.9,16,31.2
