Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,33,13,9,4,2,1,61,31,36,0,2,26,16
shoot2FGM,20,9,3,3,0,0,29,20,15,0,1,18,12
shoot2FTA,13,13,1,2,0,0,19,19,15,2,3,19,10
shoot2FTM,12,8,1,1,0,0,16,15,13,2,2,13,7
shoot2TO,2,3,0,0,0,0,10,2,5,0,0,1,1
shoot3FGA,17,1,7,1,1,1,18,14,5,78,7,0,0
shoot3FGM,7,0,3,0,0,1,5,3,4,27,4,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,25,3,6,7,2,0,13,10,11,0,4,1,1
pass2FGM,16,2,5,2,1,0,7,6,6,0,4,1,0
pass2FTA,14,0,0,0,0,0,15,6,7,2,1,0,0
pass2FTM,10,0,0,0,0,0,10,4,6,1,1,0,0
pass2TO,5,0,1,1,0,0,5,0,6,1,1,0,0
pass3FGA,22,2,3,7,4,0,22,17,17,5,2,3,2
pass3FGM,7,2,1,3,2,0,8,5,6,2,2,1,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,2,1,1,0,0,5,1,1,0,1,0,0
