,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.08,6.3,1,50.0,0.0,2.4,0.0,1,0.0,1,0.0,1.47,15.5,75.0,3,66.7,1,100.0
PNR Screener,0.93,3.6,1,50.0,1.2,4.0,50.0,1,100.0,1,0.0,0.0,2.9,N/A,0,N/A,0,N/A
DHO Ball Handler,0.68,3.7,0,25.0,0.68,5.3,25.0,2,50.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.0,3.4,1,0.0,0.0,1.2,0.0,0,N/A,1,0.0,0.0,8.6,0.0,2,0.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,3.0,0.8,0,100.0,3.0,1.2,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.96,41.8,10,51.6,0.99,39.6,57.1,21,57.1,0,N/A,0.91,47.2,40.0,5,40.0,5,40.0
TRANSITION,1.8,4.2,0,80.0,1.8,6.0,80.0,3,100.0,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.85,12.9,4,50.0,1.32,9.9,57.1,7,57.1,0,N/A,0.29,20.0,33.3,2,50.0,1,0.0
Catch & Shoot,0.84,14.9,0,25.0,0.88,18.9,26.7,0,N/A,15,26.7,0.53,5.4,0.0,0,N/A,1,0.0
Off Ball Screens,1.23,2.1,0,50.0,1.23,2.9,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.29,3.3,0,66.7,1.29,4.6,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.05,4.0,1,50.0,1.33,4.5,100.0,1,100.0,0,N/A,0.0,2.9,0.0,0,N/A,1,0.0
TOTAL,0.97,119,15.1,45.9,1.07,70.6,48.4,40,62.5,24,25.0,0.73,29.4,38.1,12,41.7,9,33.3
