,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.81,52.0,1,37.5,0.82,61.0,25.0,3,33.3,1,0.0,0.8,45.5,50.0,4,50.0,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,10.5,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,18.2,100.0,2,100.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.0,5.3,0,0.0,0.0,12.5,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,10.5,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,18.2,0.0,0,N/A,1,0.0
TRANSITION,1.8,20.4,0,66.7,3.0,12.5,100.0,0,N/A,1,100.0,1.39,26.2,50.0,0,N/A,2,50.0
Attacking Closeouts,2.27,4.6,0,N/A,2.27,11.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,5.3,0,100.0,3.0,12.5,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.16,19,10.5,50.0,1.37,42.1,42.9,4,25.0,3,66.7,1.01,57.9,55.6,6,66.7,3,33.3
