,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.48,14.8,2,70.6,1.05,10.7,55.6,8,62.5,1,0.0,1.88,23.3,87.5,5,80.0,3,100.0
PNR Screener,1.22,3.9,2,100.0,1.47,4.9,100.0,2,100.0,0,N/A,0.0,2.1,N/A,0,N/A,0,N/A
DHO Ball Handler,1.13,3.0,0,50.0,1.13,4.5,50.0,2,100.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.61,3.3,1,33.3,1.14,0.9,N/A,0,N/A,0,N/A,0.5,8.3,33.3,1,100.0,2,0.0
DBL Ball Handler,1.0,2.1,0,33.3,0.0,1.0,0.0,0,N/A,1,0.0,1.5,4.2,50.0,0,N/A,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.07,25.6,3,50.0,1.03,24.7,52.6,16,62.5,3,0.0,1.14,27.5,45.5,3,100.0,8,25.0
TRANSITION,0.72,9.5,1,33.3,0.92,11.1,44.4,6,66.7,3,0.0,0.0,6.2,0.0,0,N/A,3,0.0
Attacking Closeouts,1.07,12.8,2,46.7,1.65,8.0,71.4,6,66.7,1,100.0,0.64,22.7,25.0,2,50.0,6,16.7
Catch & Shoot,0.86,14.4,0,28.6,0.86,21.4,28.6,0,N/A,21,28.6,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,2.03,3.0,1,100.0,2.46,2.5,100.0,1,100.0,1,100.0,1.5,4.2,100.0,0,N/A,1,100.0
Cutting,1.45,4.2,0,75.0,1.45,6.3,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.02,3.3,0,50.0,1.29,4.0,66.7,3,66.7,0,N/A,0.0,2.1,0.0,0,N/A,1,0.0
TOTAL,1.1,146,8.2,49.2,1.12,67.1,50.6,48,68.8,33,24.2,1.06,32.9,45.9,11,81.8,26,30.8
