,JOKIC,GORDON,JORDAN,NNAJI,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.25,0.91,1.05,1.32,1.52,1.13,1.34,0.56,1.26,1.57,0.0,N/A,1.19
Total Poss.,152,22,25,25,11,158,48,19,31,14,1,0,506
Total FG% | Att.,55.6% | 124,46.7% | 15,55.0% | 20,47.1% | 17,55.6% | 9,50.4% | 125,65.9% | 41,26.7% | 15,41.9% | 31,57.1% | 14,0.0% | 1,N/A | 0,52.2% | 412
Total 2pt FG% | Att.,60.2% | 88,60.0% | 10,80.0% | 10,55.6% | 9,66.7% | 3,50.5% | 97,80.0% | 25,26.7% | 15,N/A | 0,66.7% | 3,N/A | 0,N/A | 0,57.3% | 260
Total 3pt FG% | Att.,44.4% | 36,20.0% | 5,30.0% | 10,37.5% | 8,50.0% | 6,50.0% | 28,43.8% | 16,N/A | 0,41.9% | 31,54.5% | 11,0.0% | 1,N/A | 0,43.4% | 152
Shooting PPP,1.15,0.88,1.3,1.22,1.86,1.14,1.35,0.63,1.34,1.46,N/A,N/A,1.18
Shooting Poss.,113,17,18,14,7,133,33,17,29,13,0,0,394
Shooting FG% | Att.,51.6% | 91,50.0% | 12,71.4% | 14,37.5% | 8,71.4% | 7,50.0% | 106,60.0% | 30,26.7% | 15,44.8% | 29,53.8% | 13,N/A | 0,N/A | 0,51.1% | 325
Shooting 2pt FG% | Att.,56.5% | 69,55.6% | 9,88.9% | 9,33.3% | 6,66.7% | 3,51.2% | 84,72.2% | 18,26.7% | 15,N/A | 0,66.7% | 3,N/A | 0,N/A | 0,54.6% | 216
Shooting 3pt FG% | Att.,36.4% | 22,33.3% | 3,40.0% | 5,50.0% | 2,75.0% | 4,45.5% | 22,41.7% | 12,N/A | 0,44.8% | 29,50.0% | 10,N/A | 0,N/A | 0,44.0% | 109
Passing PPP,1.52,1.03,0.43,1.42,0.69,1.1,1.33,0.0,0.0,3.0,0.0,N/A,1.22
Passing Poss.,39,5,7,11,4,25,15,2,2,1,1,0,112
Passing FG% | Att.,66.7% | 33,33.3% | 3,16.7% | 6,55.6% | 9,0.0% | 2,52.6% | 19,81.8% | 11,N/A | 0,0.0% | 2,100.0% | 1,0.0% | 1,N/A | 0,56.3% | 87
Passing 2pt FG% | Att.,73.7% | 19,100.0% | 1,0.0% | 1,100.0% | 3,N/A | 0,46.2% | 13,100.0% | 7,N/A | 0,N/A | 0,N/A | 0,N/A | 0,N/A | 0,70.5% | 44
Passing 3pt FG% | Att.,57.1% | 14,0.0% | 2,20.0% | 5,33.3% | 6,0.0% | 2,66.7% | 6,50.0% | 4,N/A | 0,0.0% | 2,100.0% | 1,0.0% | 1,N/A | 0,41.9% | 43
