,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,2.0,3.4,0,100.0,2.0,20.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.5,20.7,0,16.7,N/A,0.0,N/A,0,N/A,0,N/A,0.5,25.0,16.7,0,N/A,6,16.7
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,0.0,3.4,0,0.0,0.0,20.0,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.55,40.1,1,62.5,1.06,37.6,0.0,1,0.0,0,N/A,1.64,40.7,71.4,3,100.0,4,50.0
TRANSITION,0.0,6.9,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.3,0.0,0,N/A,1,0.0
Attacking Closeouts,2.0,13.8,0,75.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,16.7,75.0,1,100.0,3,66.7
Catch & Shoot,0.0,3.4,0,0.0,0.0,20.0,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.08,5.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.08,6.0,100.0,1,100.0,0,N/A
Off. Rebounds,0.0,6.9,0,0.0,0.0,20.0,0.0,1,0.0,0,N/A,0.0,4.2,0.0,0,N/A,1,0.0
TOTAL,1.13,29,6.9,44.0,0.68,17.2,20.0,4,25.0,1,0.0,1.24,82.8,50.0,5,100.0,15,33.3
